longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
139.134029,37.86182606,1396,横越川根町第2公園,横越川根町５丁目3215番地42, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.1397973,37.85479857,1397,横越農村公園,横越川根町2丁目1236番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.1022343,37.87821057,1419,大月公園,亀田ノ内高山520番地１, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.122675,37.8643807,1420,砂岡公園,砂岡３丁目1105番地１, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.115659,37.86031341,1421,堤公園,城山４丁目甲466-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.0957726,37.87448815,1422,さつき公園,五月町２丁目570番地36, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.107926,37.86230531,1423,城所公園,城所１丁目甲611-2, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.1023995,37.8853126,1424,中島公園,亀田中島3丁目2455番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.1138991,37.86752488,1425,亀田東公園,亀田東町2丁目2895番地3, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.1041947,37.87299025,1426,西町公園,西町5丁目1233番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.1133859,37.8719816,1427,稲葉公園,稲葉2丁目846番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.1102815,37.88023076,1429,亀田公園,亀田向陽4丁目1779番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.1015208,37.87205678,1430,亀田運動広場,亀田緑町1丁目2, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.1353736,37.875225,1438,処分場運動広場,うぐいす2丁目1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.137963,37.87421933,1439,藤駒農村公園,駒込字前郷227, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.1609765,37.87573783,1440,小杉農村公園,小杉3丁目2929番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.112909,37.84749846,1441,二本木ことぶき公園,二本木4丁目1257番地８, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.1406773,37.85855161,1444,茜ヶ丘公園,茜ケ丘2943番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
